,start,end
audio452.wav,253,262
audio453.wav,133,147
audio453.wav,190,201
audio455.wav,0,11
audio455.wav,97,107
audio455.wav,178,187
audio455.wav,212,221
audio456.wav,46,59
audio456.wav,67,82
audio456.wav,111,137
audio456.wav,174,189
audio456.wav,193,208
audio456.wav,216,257
audio457.wav,253,266
audio458.wav,63,73
audio458.wav,130,146
audio458.wav,210,220
audio458.wav,227,236
audio459.wav,7,30
audio459.wav,115,129
audio459.wav,199,216
audio459.wav,255,268
audio460.wav,18,30
audio460.wav,33,67
audio460.wav,74,119
audio460.wav,181,192
audio460.wav,197,210
audio460.wav,228,252
audio461.wav,170,179
audio462.wav,0,19
audio462.wav,24,34
audio462.wav,46,59
audio462.wav,69,88
audio462.wav,95,113
audio462.wav,121,134
audio462.wav,233,259
audio462.wav,263,292
audio469.wav,59,74
audio469.wav,146,155
audio470.wav,221,234
audio470.wav,262,273
audio471.wav,2,19
audio471.wav,192,204
audio471.wav,253,263
audio472.wav,8,17
audio472.wav,20,29
audio472.wav,83,99
audio472.wav,110,120
audio472.wav,141,157
audio473.wav,91,100
audio473.wav,108,121
audio474.wav,146,157
audio475.wav,158,179
audio476.wav,21,42
audio476.wav,82,91
audio476.wav,163,175
audio476.wav,185,195
audio476.wav,238,249
audio477.wav,0,10
audio477.wav,66,75
audio477.wav,131,140
audio477.wav,145,154
audio477.wav,165,177
audio477.wav,184,205
audio479.wav,28,40
audio479.wav,54,67
audio479.wav,144,172
audio479.wav,190,207
audio479.wav,235,255
audio480.wav,27,79
audio480.wav,117,126
audio480.wav,163,237
audio480.wav,246,269
audio480.wav,272,281
audio481.wav,15,35
audio481.wav,56,72
audio481.wav,85,115
audio481.wav,124,157
audio481.wav,168,177
audio481.wav,224,240
audio481.wav,243,252
audio482.wav,0,20
audio482.wav,26,70
audio482.wav,79,96
audio482.wav,113,146
audio488.wav,40,57
audio488.wav,60,69
audio488.wav,75,84
audio489.wav,208,218
audio490.wav,151,165
audio490.wav,207,219
audio491.wav,119,136
audio491.wav,207,223
audio492.wav,190,206
audio493.wav,266,279
audio495.wav,242,258
audio496.wav,23,32
audio496.wav,189,198
audio496.wav,223,233
audio497.wav,19,28
audio497.wav,213,229
audio498.wav,0,13
audio498.wav,23,32
audio498.wav,78,90
audio498.wav,196,206
audio499.wav,3,19
audio499.wav,22,36
audio499.wav,39,65
audio499.wav,86,96
audio499.wav,116,126
audio499.wav,129,138
audio499.wav,195,204
audio499.wav,217,226
audio499.wav,239,249
audio499.wav,252,262
audio499.wav,265,275
audio500.wav,170,203
audio501.wav,233,246
audio502.wav,0,11
audio502.wav,35,45
audio502.wav,95,106
audio502.wav,108,118
audio502.wav,146,160
audio503.wav,8,51
audio503.wav,67,76
audio503.wav,88,108
audio503.wav,134,145
audio503.wav,149,181
audio503.wav,192,210
audio504.wav,1,24
audio504.wav,31,62
audio504.wav,142,166
audio504.wav,169,178
audio504.wav,242,259
audio504.wav,263,278
audio505.wav,0,18
audio505.wav,117,137
audio505.wav,141,151
audio505.wav,164,182
audio505.wav,188,214
audio505.wav,243,260
audio506.wav,24,33
audio506.wav,60,70
audio507.wav,44,53
audio507.wav,77,87
audio507.wav,91,103
audio507.wav,137,149
audio507.wav,212,243
audio507.wav,253,283
audio508.wav,150,192
audio508.wav,204,220
audio508.wav,254,265
audio508.wav,281,290
audio509.wav,139,148
audio509.wav,169,181
audio509.wav,233,268
audio510.wav,7,19
audio510.wav,40,56
audio510.wav,69,84
audio510.wav,86,99
audio510.wav,162,183
audio510.wav,242,261
audio511.wav,144,166
audio511.wav,184,198
audio511.wav,221,230
audio513.wav,121,135
audio514.wav,44,53
audio514.wav,67,81
audio514.wav,84,107
audio514.wav,176,199
audio515.wav,53,62
audio518.wav,285,296
audio519.wav,132,141
audio519.wav,177,188
audio519.wav,194,222
audio519.wav,224,241
audio519.wav,255,265
audio519.wav,268,283
audio520.wav,58,72
audio520.wav,75,87
audio520.wav,120,135
audio520.wav,201,211
audio521.wav,14,40
audio521.wav,60,84
audio521.wav,88,99
audio521.wav,103,119
audio521.wav,150,160
audio521.wav,194,219
audio521.wav,228,242
audio521.wav,247,257
audio521.wav,260,275
audio523.wav,0,15
audio523.wav,70,79
audio523.wav,95,114
audio523.wav,147,159
audio523.wav,215,255
audio523.wav,272,281
audio525.wav,48,58
audio525.wav,87,123
audio525.wav,126,145
audio525.wav,180,207
audio525.wav,222,244
audio526.wav,80,100
audio527.wav,43,54
audio527.wav,58,69
audio527.wav,79,90
audio527.wav,94,104
audio527.wav,119,131
audio527.wav,205,221
audio527.wav,271,292
audio528.wav,9,31
audio528.wav,44,71
audio528.wav,122,152
audio528.wav,160,206
audio528.wav,215,246
audio528.wav,264,283
audio529.wav,12,28
audio529.wav,46,67
audio529.wav,84,95
audio529.wav,110,124
audio529.wav,147,167
audio529.wav,172,184
audio529.wav,211,221
audio530.wav,0,20
audio530.wav,24,64
audio530.wav,73,105
audio530.wav,131,140
audio530.wav,207,225
audio531.wav,0,19
audio531.wav,34,107
audio531.wav,110,120
audio531.wav,125,144
audio531.wav,150,163
audio531.wav,168,180
audio531.wav,185,196
audio531.wav,251,260
audio531.wav,279,293
audio532.wav,14,30
audio532.wav,34,62
audio532.wav,77,111
audio533.wav,0,23
audio534.wav,0,134
audio534.wav,140,165
audio534.wav,169,225
audio534.wav,230,268
audio535.wav,78,95
audio535.wav,100,112
audio535.wav,147,167
audio535.wav,173,193
audio535.wav,212,274
audio536.wav,0,30
audio536.wav,131,144
audio537.wav,71,80
audio537.wav,125,138
audio537.wav,149,163
audio538.wav,114,131
audio539.wav,189,205
audio541.wav,193,202
audio541.wav,253,262
audio542.wav,0,17
audio542.wav,22,34
audio542.wav,100,111
audio542.wav,122,156
audio542.wav,160,169
audio543.wav,256,265
audio544.wav,35,54
audio544.wav,90,104
audio544.wav,114,163
audio544.wav,166,178
audio544.wav,192,232
audio547.wav,45,56
audio547.wav,94,107
audio547.wav,112,132
audio547.wav,158,174
audio547.wav,218,237
audio547.wav,242,257
audio547.wav,268,279
audio548.wav,60,69
audio549.wav,0,12
audio549.wav,18,29
audio549.wav,115,125
audio549.wav,147,156
audio549.wav,205,236
audio550.wav,179,189
audio550.wav,206,216
audio550.wav,255,264
audio551.wav,10,33
audio551.wav,38,73
audio551.wav,87,129
audio551.wav,186,197
audio551.wav,205,216
audio551.wav,236,263
audio551.wav,266,287
audio552.wav,56,71
audio552.wav,129,143
audio552.wav,183,196
audio552.wav,248,268
audio552.wav,284,296
audio553.wav,231,242
audio553.wav,266,283
audio554.wav,12,29
audio554.wav,60,150
audio554.wav,162,173
audio554.wav,178,233
audio555.wav,18,44
audio555.wav,53,87
audio555.wav,90,123
audio555.wav,130,142
audio555.wav,148,158
audio555.wav,161,200
audio555.wav,259,273
audio555.wav,282,294
audio556.wav,23,41
audio556.wav,44,67
audio556.wav,78,87
audio556.wav,121,149
audio556.wav,177,238
audio556.wav,253,265
audio556.wav,274,288
audio557.wav,0,18
audio557.wav,21,33
audio557.wav,63,73
audio557.wav,80,96
audio557.wav,102,138
audio557.wav,145,186
audio557.wav,231,247
audio557.wav,255,273
audio558.wav,0,11
audio558.wav,65,76
audio558.wav,207,280
audio559.wav,24,36
audio559.wav,41,50
audio559.wav,85,99
audio559.wav,102,118
audio559.wav,124,134
audio559.wav,141,186
audio559.wav,213,224
audio559.wav,247,267
audio559.wav,270,285
audio560.wav,34,66
audio560.wav,102,115
audio560.wav,150,162
audio560.wav,280,291
audio561.wav,100,120
audio561.wav,201,219
audio561.wav,223,249
audio561.wav,252,290
audio562.wav,12,25
audio562.wav,37,79
audio562.wav,136,152
audio562.wav,155,175
audio562.wav,185,199
audio562.wav,203,219
audio563.wav,23,57
audio563.wav,65,83
audio563.wav,110,125
audio563.wav,140,157
audio563.wav,174,247
audio563.wav,250,274
audio564.wav,61,71
audio564.wav,82,91
audio565.wav,92,123
audio566.wav,38,56
audio566.wav,74,111
audio566.wav,127,153
audio566.wav,157,223
audio566.wav,241,250
audio567.wav,12,81
audio567.wav,114,128
audio567.wav,132,141
audio567.wav,151,166
audio567.wav,170,194
audio567.wav,201,221
audio567.wav,233,283
audio568.wav,108,154
audio568.wav,167,189
audio568.wav,202,266
audio569.wav,226,287
audio570.wav,112,123
audio570.wav,150,159
audio570.wav,279,288
audio571.wav,0,16
audio571.wav,66,75
audio571.wav,78,115
audio571.wav,164,184
audio571.wav,249,273
audio572.wav,12,27
audio572.wav,52,70
audio572.wav,81,105
audio572.wav,134,148
audio572.wav,190,214
audio572.wav,226,237
audio572.wav,273,287
audio573.wav,47,56
audio573.wav,59,70
audio573.wav,73,98
audio573.wav,128,137
audio573.wav,141,151
audio573.wav,172,183
audio573.wav,232,273
audio574.wav,0,12
audio574.wav,17,35
audio574.wav,48,64
audio574.wav,104,158
audio574.wav,161,176
audio574.wav,193,218
audio574.wav,221,232
audio575.wav,23,33
audio575.wav,46,58
audio575.wav,65,84
audio575.wav,118,130
audio575.wav,138,147
audio575.wav,261,272
audio576.wav,0,29
audio576.wav,36,49
audio576.wav,68,79
audio576.wav,92,107
audio576.wav,116,125
audio576.wav,200,221
audio576.wav,226,263
audio577.wav,0,14
audio577.wav,39,48
audio577.wav,70,85
audio577.wav,116,136
audio577.wav,161,188
audio577.wav,202,235
audio577.wav,286,295
audio578.wav,0,11
audio578.wav,50,63
audio578.wav,142,197
audio578.wav,208,236
audio578.wav,247,256
audio581.wav,68,84
audio581.wav,97,111
audio581.wav,120,131
audio581.wav,153,167
audio581.wav,180,190
audio581.wav,223,232
audio581.wav,254,272
audio582.wav,0,14
audio582.wav,29,49
audio582.wav,64,89
audio583.wav,0,65
audio583.wav,69,149
audio583.wav,189,207
audio584.wav,106,131
audio585.wav,154,163
audio585.wav,183,194
audio585.wav,203,218
audio587.wav,39,53
audio587.wav,60,84
audio587.wav,97,107
audio587.wav,119,128
audio587.wav,131,150
audio587.wav,209,227
audio587.wav,231,247
audio588.wav,62,71
audio588.wav,168,177
audio588.wav,202,211
audio589.wav,42,56
audio589.wav,92,102
audio589.wav,118,135
audio589.wav,138,157
audio590.wav,0,13
audio590.wav,69,78
audio590.wav,113,126
audio591.wav,0,9
audio591.wav,38,48
audio591.wav,71,85
audio591.wav,126,136
audio591.wav,142,209
audio591.wav,228,268
audio591.wav,276,294
audio593.wav,0,9
audio593.wav,14,26
audio593.wav,140,153
audio594.wav,153,167
audio595.wav,204,225
audio596.wav,143,153
audio596.wav,238,258
audio596.wav,272,281
audio597.wav,106,125
audio597.wav,140,160
audio597.wav,174,187
audio597.wav,242,260
audio597.wav,276,293
audio598.wav,102,135
audio599.wav,30,53
audio599.wav,66,76
audio599.wav,156,194
audio599.wav,239,271
audio600.wav,86,104
audio600.wav,142,157
audio600.wav,162,184
audio600.wav,218,227
audio602.wav,265,277
audio604.wav,27,59
audio605.wav,207,221
audio605.wav,224,234
audio606.wav,15,24
audio606.wav,106,121
audio616.wav,281,294
audio625.wav,20,47
audio626.wav,21,30
audio626.wav,101,115
audio626.wav,129,140
audio626.wav,145,157
audio626.wav,182,191
audio626.wav,211,246
audio626.wav,269,292
audio628.wav,22,46
audio628.wav,72,84
audio628.wav,125,135
audio628.wav,140,207
audio629.wav,0,47
audio629.wav,51,119
audio629.wav,123,190
audio629.wav,210,228
audio629.wav,240,257
audio629.wav,275,289
audio647.wav,225,236
audio648.wav,0,18
audio650.wav,0,13
audio650.wav,174,206
audio650.wav,224,253
audio650.wav,272,290
audio651.wav,0,17
audio651.wav,43,56
audio651.wav,114,140
audio651.wav,147,157
audio652.wav,141,150
audio652.wav,195,230
audio652.wav,238,253
audio8.wav,152,164
audio8.wav,258,267
audio8.wav,270,282
audio9.wav,41,52
audio9.wav,55,64
audio9.wav,74,85
audio9.wav,123,159
audio964.wav,137,146
audio965.wav,127,138
audio965.wav,281,294
audio968.wav,97,106
audio975.wav,94,106
